date,open,high,low,close,volume,ema10,ema20,vwma20,rsi14,signal
2025-01-17,40.0,40.5,39.77,40.12,99226.0,,,,,0
2025-01-16,39.9,40.34,39.67,39.83,69562.0,,,,,0
2025-01-15,40.05,40.38,39.75,40.08,150918.0,,,,,0
2025-01-14,39.57,40.07,39.25,39.68,94930.0,,,,,0
2025-01-13,38.26,39.22,38.17,39.18,61550.0,,,,,0
2025-01-10,38.91,39.33,38.28,38.63,108409.0,,,,,0
2025-01-08,38.82,39.53,38.44,39.35,89290.0,,,,,0
2025-01-07,39.24,39.55,38.32,38.92,167087.0,,,,,0
2025-01-06,39.16,39.39,38.93,39.3,63423.0,,,,,0
2025-01-03,39.13,39.19,38.6,39.16,53686.0,39.38029938345226,,,,0
2025-01-02,39.85,40.1,38.39,39.02,80324.0,39.31479040464276,,,,0
2024-12-31,39.9,40.32,39.71,39.85,65858.0,39.41210124016226,,,,0
2024-12-30,39.7,39.98,39.18,39.65,46400.0,39.45535556013276,,,,0
2024-12-27,40.2,41.0,39.57,39.89,64737.0,39.5343818219268,,,53.165179252888244,0
2024-12-26,40.21,40.64,39.92,40.45,58048.0,39.70085785430375,,,60.392107684973034,0
2024-12-24,40.18,40.34,39.74,40.32,26097.0,39.81342915352124,,,58.14891531916841,0
2024-12-23,40.13,40.35,39.26,40.09,77649.0,39.86371476197192,,,54.30564877759713,0
2024-12-20,39.74,41.01,39.5,40.48,259276.0,39.97576662343157,,,59.22668299877287,0
2024-12-19,40.37,40.37,39.33,40.22,136334.0,40.02017269189855,,,54.97598443005252,0
2024-12-18,41.14,41.29,39.67,40.06,131369.0,40.027414020644265,39.90979679940549,39.76190879190074,52.4798564159498,0
2024-12-17,40.73,41.43,40.6,41.08,90999.0,40.218793289618034,40.021244723271636,39.806431696894315,63.772528861272676,0
2024-12-16,40.62,42.13,40.62,40.81,161207.0,40.32628541877839,40.09636427343624,39.887002990051776,59.72645330198289,0
2024-12-13,39.68,40.57,39.42,40.5,102270.0,40.35786988809141,40.13480577120421,39.904313700815344,55.38184727330586,0
2024-12-12,39.99,40.26,39.69,39.76,38099.0,40.24916627207478,40.099109983470484,39.91270634266186,46.65704466658569,0
2024-12-11,40.06,40.34,39.62,39.96,81738.0,40.196590586243,40.08586141361616,39.93844558692109,48.995760254204455,0
2024-12-10,39.9,40.24,39.18,39.74,63366.0,40.113574116017,40.052922231367006,40.008049618334994,46.57670140345346,0
2024-12-09,39.9,40.27,38.87,39.88,175422.0,40.071106094922996,40.03645344742729,40.02672551403759,48.32516685087429,0
2024-12-06,40.18,40.18,39.28,39.75,53289.0,40.01272316857336,40.00917216671993,40.11973702319261,46.7936790338042,0
2024-12-05,40.66,40.66,39.75,39.81,72382.0,39.97586441065093,39.990203388937076,40.135820782682,47.618782392663604,0
2024-12-04,40.23,40.71,40.08,40.55,47123.0,40.080252699623486,40.043517351895446,40.17507066916959,56.56518184680982,0
2024-12-03,40.2,40.81,39.93,40.42,73069.0,40.14202493605558,40.07937284219112,40.23572430910402,54.79463646900896,0
2024-12-02,40.7,40.91,39.89,40.47,59744.0,40.20165676586365,40.116575428649114,40.25738889090507,55.37321828232883,0
2024-11-29,40.83,40.89,40.1,40.55,51401.0,40.26499189934299,40.157853959253956,40.28109085285906,56.33616304368237,0
2024-11-27,40.0,40.59,39.99,40.39,97926.0,40.28772064491699,40.179963105991675,40.30046985471842,53.83421178961885,0
2024-11-26,40.5,40.62,39.77,40.0,58903.0,40.235407800386625,40.162823762563896,40.28627002314198,48.21352051519722,0
2024-11-25,39.32,40.83,39.32,40.65,156705.0,40.310788200316324,40.20922149946257,40.314494573425854,56.386584593385734,0
2024-11-22,39.24,39.61,38.95,39.21,52877.0,40.1106448911679,40.1140575471328,40.29362846632466,40.962773726319455,0
2024-11-21,38.46,39.34,38.01,38.96,67362.0,39.90143672913737,40.00414730454873,40.21564318957318,38.969779459258476,0
2024-11-20,38.82,38.82,38.03,38.25,56917.0,39.60117550565785,39.83708565649648,40.149176683402594,33.92199196545447,0
2024-11-19,38.83,39.15,38.48,38.8,70070.0,39.455507231901876,39.738315593973006,40.09839286294608,40.36600009638937,0
2024-11-18,38.1,38.93,37.8,38.85,100251.0,39.34541500791971,39.65371410883272,39.96762330340261,40.929973085324384,0
2024-11-15,38.48,38.52,37.23,38.1,93482.0,39.11897591557067,39.50574133656294,39.77022634883325,35.50573424085118,0
2024-11-14,38.79,38.79,38.01,38.15,60149.0,38.942798476376005,39.37662311403314,39.65777012628449,36.11358822291825,0
2024-11-13,39.63,39.63,38.5,38.57,53384.0,38.87501693521673,39.2998018650776,39.617678265483065,41.132586930420196,0
2024-11-12,40.04,40.29,39.18,39.5,65543.0,38.98865021972277,39.318868354117825,39.59433937614631,50.42069686713764,0
2024-11-11,39.8,40.47,39.58,39.94,102633.0,39.1616229070459,39.37802374896375,39.61107131564319,54.109846870003565,0
2024-11-08,39.39,39.68,39.11,39.39,78877.0,39.20314601485574,39.379164344300534,39.56717890314906,49.18334497346308,0
2024-11-07,39.76,39.77,39.1,39.34,69422.0,39.22802855760924,39.375434406748106,39.550035223286876,48.748816317164845,0
2024-11-06,39.25,39.97,38.76,39.82,189962.0,39.33565972895302,39.417773987057814,39.57025335658239,53.03825535389187,0
2024-11-05,37.28,38.09,37.28,37.97,104973.0,39.08735796005247,39.279890750195165,39.4415291677937,39.363829141092175,0
2024-11-04,36.88,38.19,36.86,37.54,114201.0,38.806020149133836,39.11418686922419,39.27220991305634,36.97745615798102,0
2024-11-01,37.48,37.7,36.17,36.89,154283.0,38.45765284929132,38.9023595483457,39.02817604529709,33.655968364542375,0
2024-10-31,34.0,38.33,34.0,37.39,365751.0,38.26353414942017,38.75832530564611,38.70769674656084,38.250787138138925,0
2024-10-30,32.58,33.0,32.31,32.66,60629.0,37.244709758616494,38.177532419394105,38.45176643995735,22.426933817013847,0
2024-10-29,32.33,32.78,32.33,32.59,35515.0,36.39839889341349,37.64538647468991,38.30594165766352,22.28003801587532,0
2024-10-28,32.14,32.9,32.14,32.64,52565.0,35.715053640065584,37.168683000909915,37.96463409114933,22.669662315873353,0
2024-10-25,32.26,32.47,31.93,32.09,49229.0,35.055952978235474,36.68499890558516,37.782105847322484,21.3988504323886,0
2024-10-24,32.33,32.4,31.71,32.11,89163.0,34.52032516401084,36.24928472410086,37.48465410506055,21.57102331644704,0
