date,open,high,low,close,volume,ema10,ema20,vwma20,rsi14,signal
2025-01-17,421.5,439.74,419.75,426.5,94991430.0,,,,,0
2025-01-16,423.49,424.0,409.13,413.82,68335148.0,,,,,0
2025-01-15,409.9,429.8,405.66,428.22,81375453.0,,,,,0
2025-01-14,414.34,422.64,394.54,396.36,84565023.0,,,,,0
2025-01-13,383.21,403.79,380.07,403.31,67580484.0,,,,,0
2025-01-10,391.4,399.28,377.29,394.74,62287328.0,,,,,0
2025-01-08,392.95,402.5,387.4,394.94,73038805.0,,,,,0
2025-01-07,405.83,414.33,390.0,394.36,75699531.0,,,,,0
2025-01-06,423.2,426.43,401.7,411.05,85516531.0,,,,,0
2025-01-03,381.48,411.88,379.45,410.44,95423328.0,408.0631751136246,,,,0
2025-01-02,390.1,392.73,373.04,379.28,109710703.0,402.829870547511,,,,0
2024-12-31,423.79,427.93,402.54,403.84,76825117.0,403.01353044796355,,,,0
2024-12-30,419.4,427.0,415.75,417.41,64941008.0,405.6310703665156,,,,0
2024-12-27,449.52,450.0,426.5,431.66,82666812.0,410.3636030271491,,,57.75948030387718,0
2024-12-26,465.16,465.33,451.02,454.13,76651211.0,418.3211297494856,,,64.82280680913864,0
2024-12-24,435.9,462.78,435.14,462.28,59551754.0,426.3136516132155,,,66.97956771870778,0
2024-12-23,431.0,434.51,415.41,430.6,72698062.0,427.09298768353995,,,53.29980191978662,0
